,T,P,zs
0,964.8523694492793,476860.72946429806,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1,322.4731802724101,368537.6290930183,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,316.05654845747,195171.89524030537,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,241.48571742328232,339194.3134428476,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
4,573.525083846634,447004.1377851311,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,464.2988108678386,371627.0210224726,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6,785.7164498851515,775936.8861483169,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
7,81.20486062960578,278479.7277944003,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
8,123.11906348989534,693281.6881763018,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
9,289.851176021924,212272.81211276035,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
10,20.246722683604467,581622.3518529375,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
11,691.9159530636197,575166.6969253912,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
12,951.3959777364857,443640.26546881936,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,661.6400025240056,589168.8803676903,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
14,629.848381399365,157690.21832165928,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
15,868.4820415726954,170950.6679638743,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
16,500.5084424734193,736301.4673777847,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
17,412.02616716757245,273840.7998561655,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
18,354.46074636726877,245556.8439567516,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
19,372.11297399139073,945661.2800030813,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,301.6775183568376,512102.96869963163,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
21,354.400859393702,502166.50852892705,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
22,891.4232895642788,650416.8708337928,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
23,528.0374550535245,311431.92373435514,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
24,902.3630647209757,920540.8556244042,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
25,436.44407134876104,735803.4390501622,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
26,840.6622299084772,650387.2718928526,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
27,863.4142178306868,972343.8407221279,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
28,697.8530876606766,477171.3473173388,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
29,612.214324813147,196078.62404220234,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
30,539.4959189092793,512140.74339338485,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
