,T,P,zs
0,551.6717143108792,882008.0137466909,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1,863.2579385807253,173217.20009928278,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,951.9681064659161,347035.22748151317,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,343.3624429980542,988907.8870021994,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
4,344.13221219777915,244689.77212880563,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,139.21776065262915,662143.2016548609,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6,820.4775612097629,649551.0248831831,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
7,108.81149961687427,297187.2228815154,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
8,821.4328618283752,194237.72939766943,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
9,350.2190561546356,168726.49280204007,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
10,541.6842963158049,255464.00728310941,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
11,208.08468465177287,941172.7630222817,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
12,886.0257147491188,410209.4316543923,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,325.4729653700586,192619.33287838032,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
14,313.9153765939644,647872.6460322692,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
15,287.52043996915074,333121.7036486629,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
16,496.6474209646256,597642.584008018,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
17,748.5946398450935,235689.0063569358,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
18,108.58606150285362,991498.807661251,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
19,753.4098049828436,278856.6920639939,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,186.50771473941487,317636.6743712585,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
21,436.61982162018836,201699.17276751838,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
22,445.0781059619904,931525.8549772649,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
23,108.25990303235332,257730.32943295158,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
24,171.86502697191747,818055.6952012125,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
25,111.71719693893877,385306.0298801238,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
26,874.5950135396818,193417.74343574935,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
27,659.8405814302868,770787.7491790795,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
28,642.9148185693438,856538.468602885,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
29,540.1612746891656,835618.6519338555,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
30,292.3703344938704,749120.3669520308,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
31,326.19282680517455,573500.9144391203,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
32,435.3448391518249,522579.671927165,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
33,438.4890458383664,126597.17562646675,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
34,676.7816273262932,359900.0957016713,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
35,572.3372265743395,374853.69741330715,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
36,95.68675605830853,144574.60203703216,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
37,590.7732992757751,884388.6025861624,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
38,728.0828017936755,469108.00019138784,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
39,681.3930999666559,227822.09805789986,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
40,990.5664173931295,413712.2182611523,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
41,25.258400933540756,586996.8243936803,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
42,323.1869696498814,456092.47067584837,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
43,508.3816506852796,267010.45391168236,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
44,708.9621652603114,183380.2429017243,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
45,973.3943269979543,952338.6432626994,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
46,437.1089437402486,221108.3243241166,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
47,586.8613066376889,770878.787523793,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
48,224.42729886729748,548245.956251133,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
49,262.96189394902035,720041.1448420599,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
50,131.47506887346515,643060.1257767206,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
51,372.185828522697,515835.9247433842,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
52,807.2916229144108,597585.7867514716,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
53,83.29893186921217,732841.9154430212,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
54,480.85501875351235,539243.7574394869,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
55,326.7187574262125,431501.54175037873,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
56,476.56712630774473,955875.2199937066,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
57,658.7298530033877,803757.2049733456,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
58,210.18055933942512,616473.1533551472,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
59,627.957679908717,345810.0418647403,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
60,194.096233961505,882462.0314652887,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
61,755.3831085738207,342231.0528026307,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
62,503.5551214996191,714824.5106332337,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
63,930.1909514815727,369273.5132486572,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
64,502.93014517326543,385311.2292505185,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
65,962.7115646977031,578441.7676718449,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
66,533.5894521289615,410836.945043918,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
67,828.0902892362493,833037.4360637394,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
68,320.2928684487075,349822.6086068677,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
69,525.3274488861645,856471.1855090259,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
70,15.560932567110957,274457.3122889697,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
71,394.96755746218275,712285.6984583479,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
72,855.1657841059211,939969.8726804683,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
73,190.64870639293332,699366.6025429171,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
74,689.22440264031,453391.2855550543,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
75,924.4555084347888,157301.2549360938,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
76,890.6947799163689,455816.72785987257,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
77,420.581731670115,945478.6929859272,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
78,254.27588400622508,447938.6226144074,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
79,565.5649312247158,260023.4239262472,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
80,613.6015871379536,628317.5169518499,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
81,48.81487560667275,904747.0117418471,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
82,626.3782985625461,194146.5567365518,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
83,878.1082603054501,736843.6679523578,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
84,700.8445816029362,704131.9646117851,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
85,111.51792235081369,525108.2037902019,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
86,191.37597961892828,633491.8579952805,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
87,12.911205754117429,668818.4840058828,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
88,427.94440002158933,678494.725601315,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
89,513.8288628726159,479309.01052555547,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
90,327.0450115490649,374471.92766576546,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
91,710.2300290745809,185548.71373596392,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
92,840.2970650076884,341400.7340172427,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
93,711.5843109089733,338335.69675771287,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
94,963.5484999289442,691686.4535520198,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
95,113.36779544119457,199352.48546017846,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
96,396.54514277274546,558920.8509643078,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
97,106.50959515909572,282815.16286613897,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
98,384.639727246206,476003.94750470325,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
99,505.96117198738585,513536.5931785669,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
100,769.6457564570827,507185.8991284943,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
101,370.08481574041303,175433.06819873783,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
102,461.6738486544516,712707.2889904999,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
103,625.0923763200317,213284.70929462928,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
104,150.4977216721828,910551.3066520817,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
105,70.96761693462487,107623.8234600675,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
106,611.8033630370694,810318.4686458602,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
107,447.301108362877,606085.9153515326,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
108,887.5207908003716,262224.9743146236,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
109,442.0543243421834,396621.95294678805,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
110,838.4156875178505,266729.644473654,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
111,128.37914279612704,221941.9755733556,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
112,552.0574307745267,620924.1175449556,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
113,77.98178420630676,111155.97448559126,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
114,516.2419772242838,393395.77067324735,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
115,652.7163022964648,473405.39092765085,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
116,278.21412815587365,530386.9474265401,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
117,400.56880566247787,347237.7449603211,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
118,843.7347240815506,126941.39981488703,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
119,85.99996332004484,976037.3221713024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
120,508.62424653688134,544059.3605104809,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
121,123.55046905880997,774257.1216170038,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
122,176.84582174153024,174332.4571401377,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
123,111.48155522144972,390102.9698270119,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
124,978.7602859265935,182019.17077476496,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
125,993.3232144054308,129102.63424477741,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
126,544.6332893921177,305216.48967229936,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
127,757.328325611622,243747.44309040564,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
128,692.4736967908924,990341.661660471,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
129,778.9906417613252,847601.4551140912,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
130,113.03936121416655,672779.7170508681,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
131,65.90263964976737,132475.7470051065,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
