,T,P,zs
0,329.10605265331327,798135.8199633475,"[0.25, 0.25, 0.25, 0.25]"
1,81.38604494469287,716891.1629926995,"[0.25, 0.25, 0.25, 0.25]"
2,22.52396794922511,269419.1189751526,"[0.25, 0.25, 0.25, 0.25]"
3,437.12864246523293,561053.801869881,"[0.25, 0.25, 0.25, 0.25]"
4,507.91646724977824,670433.0437343947,"[0.25, 0.25, 0.25, 0.25]"
5,365.1356288032272,290071.0052672693,"[0.25, 0.25, 0.25, 0.25]"
6,990.8572231588867,292422.879518684,"[0.25, 0.25, 0.25, 0.25]"
7,357.9388932050838,833396.9655629052,"[0.25, 0.25, 0.25, 0.25]"
8,205.4125278059588,483354.0497297306,"[0.25, 0.25, 0.25, 0.25]"
9,864.2451399082473,284199.5443434455,"[0.25, 0.25, 0.25, 0.25]"
10,191.8080390558769,762648.7044353646,"[0.25, 0.25, 0.25, 0.25]"
11,185.3348031948398,579789.9810879361,"[0.25, 0.25, 0.25, 0.25]"
12,129.33172258030294,655910.4018506799,"[0.25, 0.25, 0.25, 0.25]"
13,947.0620248351072,700414.9291216467,"[0.25, 0.25, 0.25, 0.25]"
14,191.00814447420873,257191.92182200265,"[0.25, 0.25, 0.25, 0.25]"
15,491.28253226307004,446887.6948608438,"[0.25, 0.25, 0.25, 0.25]"
16,24.642694159580895,800587.4935254036,"[0.25, 0.25, 0.25, 0.25]"
17,988.2337436114975,911018.3753198448,"[0.25, 0.25, 0.25, 0.25]"
18,486.6952467975512,692124.1775076282,"[0.25, 0.25, 0.25, 0.25]"
19,861.7749864143323,618731.3209990305,"[0.25, 0.25, 0.25, 0.25]"
20,271.96988655961553,285761.41084498627,"[0.25, 0.25, 0.25, 0.25]"
21,401.9083022927545,963700.8387198613,"[0.25, 0.25, 0.25, 0.25]"
22,428.3447571655289,801065.5898985766,"[0.25, 0.25, 0.25, 0.25]"
23,634.3954379361493,253682.4228028894,"[0.25, 0.25, 0.25, 0.25]"
24,723.6169071831426,682083.5818678741,"[0.25, 0.25, 0.25, 0.25]"
25,684.7143023220249,296284.8747281416,"[0.25, 0.25, 0.25, 0.25]"
26,171.82014502666337,284552.5594291513,"[0.25, 0.25, 0.25, 0.25]"
27,811.6183367257033,858176.0458665007,"[0.25, 0.25, 0.25, 0.25]"
28,805.2612189879993,391095.4365996615,"[0.25, 0.25, 0.25, 0.25]"
29,400.7353500804319,369166.2145206568,"[0.25, 0.25, 0.25, 0.25]"
30,932.3733491797047,987836.6415220923,"[0.25, 0.25, 0.25, 0.25]"
31,400.79216952782735,755737.0359474234,"[0.25, 0.25, 0.25, 0.25]"
32,571.3728827880691,147700.30824551525,"[0.25, 0.25, 0.25, 0.25]"
33,672.8368127438737,554191.8713054163,"[0.25, 0.25, 0.25, 0.25]"
34,596.4199371664357,874717.2447513094,"[0.25, 0.25, 0.25, 0.25]"
