,T,P,zs
0,220.73127449392297,911923.1610418223,"[0.2, 0.2, 0.2, 0.2, 0.2]"
1,963.6723670945923,991449.6654971411,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,22.304510332722362,536495.2178154313,"[0.2, 0.2, 0.2, 0.2, 0.2]"
3,646.3332590862631,321140.2779567348,"[0.2, 0.2, 0.2, 0.2, 0.2]"
4,780.7481017399476,826908.5033549733,"[0.2, 0.2, 0.2, 0.2, 0.2]"
5,881.7580527796019,334241.224944898,"[0.2, 0.2, 0.2, 0.2, 0.2]"
6,439.77957965221384,551187.9569964961,"[0.2, 0.2, 0.2, 0.2, 0.2]"
7,306.9715377626346,166612.95175024695,"[0.2, 0.2, 0.2, 0.2, 0.2]"
8,762.375640264634,931483.0416620845,"[0.2, 0.2, 0.2, 0.2, 0.2]"
9,144.77073978142153,554956.1862466394,"[0.2, 0.2, 0.2, 0.2, 0.2]"
10,39.409670955726675,419515.0181142296,"[0.2, 0.2, 0.2, 0.2, 0.2]"
11,391.48008935617173,422779.8360590425,"[0.2, 0.2, 0.2, 0.2, 0.2]"
12,845.9284215966845,695065.6493918594,"[0.2, 0.2, 0.2, 0.2, 0.2]"
13,559.0583284335239,573066.7545703549,"[0.2, 0.2, 0.2, 0.2, 0.2]"
14,452.15014947312204,115149.7747190787,"[0.2, 0.2, 0.2, 0.2, 0.2]"
15,978.7125437041815,538058.4298177725,"[0.2, 0.2, 0.2, 0.2, 0.2]"
16,235.64410734069128,196322.20054365473,"[0.2, 0.2, 0.2, 0.2, 0.2]"
17,470.46325020415827,681658.2744786065,"[0.2, 0.2, 0.2, 0.2, 0.2]"
18,347.61892524499626,671880.5786061211,"[0.2, 0.2, 0.2, 0.2, 0.2]"
19,921.4834256231135,733471.6070092308,"[0.2, 0.2, 0.2, 0.2, 0.2]"
20,765.6286633592168,188990.7156642563,"[0.2, 0.2, 0.2, 0.2, 0.2]"
21,38.254257469455766,787748.8738212938,"[0.2, 0.2, 0.2, 0.2, 0.2]"
22,592.103258613109,423777.379815273,"[0.2, 0.2, 0.2, 0.2, 0.2]"
23,599.1690664775443,651095.2543794041,"[0.2, 0.2, 0.2, 0.2, 0.2]"
24,895.290991933071,425624.77427886275,"[0.2, 0.2, 0.2, 0.2, 0.2]"
25,499.04233537819516,587673.9074004423,"[0.2, 0.2, 0.2, 0.2, 0.2]"
26,583.4571819224603,950661.6538721522,"[0.2, 0.2, 0.2, 0.2, 0.2]"
27,478.5061788916512,157760.4023427731,"[0.2, 0.2, 0.2, 0.2, 0.2]"
28,719.6683581057048,834920.1469980448,"[0.2, 0.2, 0.2, 0.2, 0.2]"
29,875.6434104559822,222511.83389006215,"[0.2, 0.2, 0.2, 0.2, 0.2]"
30,253.52473545473455,235362.86320125236,"[0.2, 0.2, 0.2, 0.2, 0.2]"
31,790.9931578783779,480476.3590551461,"[0.2, 0.2, 0.2, 0.2, 0.2]"
32,403.22322825815064,471583.7365767336,"[0.2, 0.2, 0.2, 0.2, 0.2]"
33,168.9945294281436,727186.8826274639,"[0.2, 0.2, 0.2, 0.2, 0.2]"
34,898.6778730813581,794873.0595352142,"[0.2, 0.2, 0.2, 0.2, 0.2]"
35,421.8049963032315,363035.742297068,"[0.2, 0.2, 0.2, 0.2, 0.2]"
36,627.8977527697654,492451.7388712799,"[0.2, 0.2, 0.2, 0.2, 0.2]"
37,803.776635611855,967883.9366655906,"[0.2, 0.2, 0.2, 0.2, 0.2]"
38,324.27001069912296,377628.05461403454,"[0.2, 0.2, 0.2, 0.2, 0.2]"
39,937.1669549528181,293833.7727465452,"[0.2, 0.2, 0.2, 0.2, 0.2]"
