,T,P,zs
0,907.857145674865,202410.82729748997,"[0.5, 0.5]"
1,851.669906870857,645793.4276878755,"[0.5, 0.5]"
2,542.9341413002543,885626.1876326632,"[0.5, 0.5]"
3,723.436562703398,543387.4627743659,"[0.5, 0.5]"
4,782.6010816914786,720827.098470525,"[0.5, 0.5]"
5,274.99259426216105,732863.3704971481,"[0.5, 0.5]"
6,663.5875169458965,288652.8131851187,"[0.5, 0.5]"
7,991.153102688806,702246.2126174468,"[0.5, 0.5]"
8,827.3612727125917,499490.34330256423,"[0.5, 0.5]"
9,187.0263380883016,388477.1960638125,"[0.5, 0.5]"
10,474.0496386792863,209959.4161236515,"[0.5, 0.5]"
11,926.8195916706571,396795.06852583325,"[0.5, 0.5]"
12,700.9360846688553,588527.3133249988,"[0.5, 0.5]"
13,488.15821638863497,782017.0789252819,"[0.5, 0.5]"
14,333.50270770497747,253192.28467217513,"[0.5, 0.5]"
15,117.61104767128703,401773.6425465665,"[0.5, 0.5]"
16,425.97807795808404,767790.8431413199,"[0.5, 0.5]"
17,638.7313201336104,388072.16968047677,"[0.5, 0.5]"
18,126.52889691740862,762109.9504306309,"[0.5, 0.5]"
19,191.85805289580844,961102.2454956715,"[0.5, 0.5]"
20,380.89062304666027,666053.315071589,"[0.5, 0.5]"
21,811.5519798306502,152243.5236146012,"[0.5, 0.5]"
22,802.4576172260734,348600.8047455372,"[0.5, 0.5]"
23,794.3156762654976,334123.1810374149,"[0.5, 0.5]"
24,978.92353970178,578787.5090110257,"[0.5, 0.5]"
25,119.33231453340791,743673.6202691977,"[0.5, 0.5]"
26,777.2272044489287,876171.9444378081,"[0.5, 0.5]"
27,305.4500554633061,526502.2430647037,"[0.5, 0.5]"
28,337.51204464102295,777621.1590000126,"[0.5, 0.5]"
29,454.34392268225,732881.6905005836,"[0.5, 0.5]"
30,425.57008846461446,936980.3056815844,"[0.5, 0.5]"
31,957.908783208084,146755.53053552884,"[0.5, 0.5]"
32,550.778104100745,279988.7410656087,"[0.5, 0.5]"
