,target,params
0,-0.03663468640297651,"{'Nodes_per_layer': 353.04204985925776, 'deepth': 4.322008613632046}"
1,-0.05122221494093537,"{'Nodes_per_layer': 845.5561358870376, 'deepth': 3.534263708659921}"
2,-0.03674120223149657,"{'Nodes_per_layer': 438.2531584961043, 'deepth': 2.7715296585631473}"
3,-0.04004560178145766,"{'Nodes_per_layer': 489.61191229201677, 'deepth': 3.5435485015220216}"
4,-0.036582943983376026,"{'Nodes_per_layer': 937.1671954226687, 'deepth': 4.573258130585476}"
5,-0.03703051572665572,"{'Nodes_per_layer': 395.3220465928743, 'deepth': 3.8113913290623342}"
6,-0.03799113305285573,"{'Nodes_per_layer': 937.5464805013742, 'deepth': 3.0012454868664795}"
7,-0.0441300836391747,"{'Nodes_per_layer': 926.4256219346934, 'deepth': 4.887781071149181}"
8,-0.03708774782717228,"{'Nodes_per_layer': 361.26404705762116, 'deepth': 4.434024438521137}"
9,-0.03637828677892685,"{'Nodes_per_layer': 428.77258221331834, 'deepth': 4.489222085427057}"
10,-0.03706697328016162,"{'Nodes_per_layer': 417.61313962377733, 'deepth': 2.6098907666862603}"
11,-0.03772956691682339,"{'Nodes_per_layer': 406.4566171763708, 'deepth': 4.90920138943818}"
12,-0.061716483905911446,"{'Nodes_per_layer': 381.31640203943385, 'deepth': 3.966732879125504}"
13,-0.036533102160319686,"{'Nodes_per_layer': 951.104545035934, 'deepth': 4.849229891721679}"
14,-0.03715843753889203,"{'Nodes_per_layer': 964.8466942788975, 'deepth': 4.9396614956333345}"
15,-0.04090023459866643,"{'Nodes_per_layer': 453.4638461767971, 'deepth': 4.714856943316979}"
16,-0.05178909515962005,"{'Nodes_per_layer': 979.1893206075079, 'deepth': 2.138447026320067}"
17,-0.046972669661045074,"{'Nodes_per_layer': 339.12166655877627, 'deepth': 2.5974105274001134}"
18,-0.03618795447982848,"{'Nodes_per_layer': 507.30643489517666, 'deepth': 4.113373691353865}"
