,T,P,Zs
0,100.29421793258915,655351.3947949336,"[0.19146309881973855, 0.2922298259339108, 0.14863123080125623, 0.3676758444450944]"
1,706.558146952409,555993.8751447977,"[0.3675029502101536, 0.01425818638709003, 0.12504623391494904, 0.4931926294878073]"
2,765.7305760040591,502928.74621147406,"[0.6212035644790974, 0.028949944710909798, 0.07083897544493363, 0.27900751536505913]"
3,866.8946203616904,765102.2555376419,"[0.06551969605934209, 0.3267381878262393, 0.549495908751331, 0.058246207363087575]"
4,258.6031213061482,398697.6623637897,"[0.14543349904525693, 0.1184620174255947, 0.20756285293909554, 0.5285416305900527]"
5,929.6923909381363,114639.35507617315,"[0.2981867431616139, 0.22481495800422685, 0.36365481003347355, 0.11334348880068558]"
6,340.30863003317,457444.7299589908,"[0.030281108103094832, 0.6957664497392463, 0.08380899073787544, 0.19014345141978337]"
7,743.9892154476485,645684.3580156479,"[0.04536662652710533, 0.5923078486876071, 0.3390536191253817, 0.023271905659905907]"
8,508.6106493656158,604444.7917112166,"[0.2523298088718382, 0.16892967005447634, 0.4758085377586061, 0.10293198331507922]"
9,827.7030864637832,121920.10306342611,"[0.684778992758605, 0.06508301046479713, 0.16487057958488635, 0.0852674171917116]"
10,248.06890877118533,445937.6458295503,"[0.22096858804140695, 0.29391789153026227, 0.020333393212016042, 0.4647801272163146]"
11,528.0651810988409,250510.450155848,"[0.23393457604047774, 0.34307838594955764, 0.4177583594910336, 0.005228678518930963]"
12,217.5778877755325,722401.8055857321,"[0.2879974463246889, 0.39351578220327277, 0.2617421427920656, 0.056744628679972806]"
13,515.8085775730399,460942.3656426781,"[0.0849384930018812, 0.3020439632134283, 4.423688696832283e-05, 0.6129733068977222]"
14,789.6251077878477,486064.59314145084,"[0.10518928583001012, 0.1866293410968724, 0.5068734454804903, 0.20130792759262714]"
15,204.96091531412998,994847.9171458988,"[0.020025885691005805, 0.18638676317527642, 0.33055940838314984, 0.46302794275056786]"
16,633.5180034821295,850443.9227160797,"[0.463029120253668, 0.039750294789787484, 0.06587227943491496, 0.43134830552162967]"
17,843.1299066755747,412198.4337933154,"[0.15500018473490662, 0.3012918110068086, 0.025468521906861937, 0.5182394823514229]"
18,724.1382468547689,251120.44363877783,"[0.03570484284915846, 0.06113722879568282, 0.7499868678493863, 0.1531710605057724]"
19,371.75359461546435,582622.7194760044,"[0.6093064766468711, 0.09309982240683719, 0.021666908354029474, 0.2759267925922622]"
20,999.0083551453441,363514.3070568386,"[0.3771451623803436, 0.25892096726706987, 0.11308898967784302, 0.2508448806747436]"
21,884.144849160969,381886.57077534724,"[0.22971873791820924, 0.10278854342176656, 0.5944331923313627, 0.0730595263286616]"
22,546.8521452065278,487326.0509776388,"[0.4011365779864, 0.19541868681322014, 0.37890772978017384, 0.024537005420205774]"
23,851.8315474221754,241401.08592067438,"[0.05152448495236736, 0.28026996938055654, 0.4860183818954003, 0.18218716377167568]"
24,827.5822428944678,876913.1665845175,"[0.8285544324922928, 0.046161651477122624, 0.031213511969950432, 0.09407040406063413]"
25,208.14926479134274,918412.0083684825,"[0.09260478613184735, 0.15334700200408022, 0.702252974857679, 0.05179523700639357]"
26,497.0795610729254,848404.1762525792,"[0.04060374141273917, 0.2725002186618605, 0.11344838865150497, 0.5734476512738954]"
27,210.82367447308067,168332.80467615114,"[0.16721582587588024, 0.5306285183829144, 0.07022163398124669, 0.23193402175995867]"
28,455.3415242532068,604244.4540773035,"[0.00650392259663582, 0.07856209280842698, 0.8652544586655572, 0.04967952592937996]"
29,287.78033834877994,886283.7170497352,"[0.07138829669334194, 0.547599495055834, 0.14323582706378338, 0.23777638118704064]"
30,405.21147756573095,362104.7355556161,"[0.3003466194224162, 0.022784187040182573, 0.12295601165303381, 0.5539131818843674]"
31,280.1038501569509,506676.7945150638,"[0.2762194139061457, 0.5693012890008905, 0.14384098438974896, 0.010638312703214612]"
32,248.13860684838463,333675.52869102976,"[0.5091990149154344, 0.05203746682311029, 0.007150480348015442, 0.4316130379134399]"
33,545.703318305257,708784.1717770259,"[0.03822309510908552, 0.1026298681506324, 0.8260409818524527, 0.03310605488782937]"
34,138.84537601412944,484976.9595569604,"[0.18734867380290274, 0.1969228360102782, 0.05093895543839417, 0.564789534748425]"
35,569.3396562577551,327257.02069781756,"[0.03831916344345516, 0.1695917587572119, 0.1609856681066086, 0.6311034096927243]"
36,245.5621307417306,367064.07095826406,"[0.18376769108839852, 0.4447715859056992, 0.20342980203665856, 0.16803092096924374]"
37,260.51315834306547,255195.11802908382,"[0.1917560265677744, 0.6546847223788582, 0.12240945909351669, 0.031149791959850737]"
38,665.6957266382991,646869.5417366696,"[0.21175657278450588, 0.10420128811016073, 0.31178303545497943, 0.3722591036503538]"
39,557.2972222914136,167011.06177485708,"[0.08101193791699257, 0.3394771883499122, 0.2135560924968594, 0.36595478123623587]"
40,436.95448275538064,209516.8954397344,"[0.14954444227840355, 0.13374349511784284, 0.3839223387813478, 0.3327897238224059]"
41,384.822848033903,344942.90496557753,"[0.5243167964327593, 0.007115571033781535, 0.18391727500443125, 0.284650357529028]"
42,62.68410407950975,974177.0711225223,"[0.2498221193010287, 0.04452615765401315, 0.40545973159006704, 0.30019199145489117]"
43,660.2341859896844,995048.1135319059,"[0.21581353486032098, 0.15327322082890518, 0.3017518507587635, 0.32916139355201024]"
44,176.17066524900628,581149.1082227711,"[0.04242011049373214, 0.4061936297486677, 0.137966194435191, 0.41342006532240916]"
45,539.408550679908,329281.17484141374,"[0.21819654683895232, 0.5960318551306294, 0.17612248244237325, 0.009649115588044994]"
46,764.0593505849657,710845.2931589133,"[0.1569867472449826, 0.2315660334684185, 0.08623687037037048, 0.5252103489162284]"
47,939.5185878238038,578460.9535602422,"[0.43138209531313976, 0.3662697402366316, 0.01958723508538121, 0.18276092936484734]"
48,102.06672502178127,320620.4784643124,"[0.3134628755212803, 0.09893990989209625, 0.16069371725507672, 0.4269034973315467]"
49,997.5753136294361,872538.8154477428,"[0.186635113768253, 0.41959642413225173, 0.2920120540952109, 0.1017564080042845]"
