,target,params
0,-0.0013025625376030803,"{'colsample_bytree': 0.6097309700860689, 'learning_rate': 0.06953727912616904, 'max_depth': 6.2093076415822, 'n_estimators': 466.0279069721555, 'reg_lambda': 12.713710156720326, 'subsample': 0.2110543328321356}"
1,-0.0012116851285099983,"{'colsample_bytree': 0.6551443198239545, 'learning_rate': 0.030230288808903452, 'max_depth': 8.326007373936108, 'n_estimators': 452.1814872538786, 'reg_lambda': 25.92096224393597, 'subsample': 0.7037504894494404}"
2,-0.0015077122952789068,"{'colsample_bytree': 0.8140273307534895, 'learning_rate': 0.012822708669698736, 'max_depth': 5.012454648739526, 'n_estimators': 336.47167856959953, 'reg_lambda': 17.760475739818506, 'subsample': 0.9746917815811749}"
3,-0.0009615374146960676,"{'colsample_bytree': 0.8687617914713182, 'learning_rate': 0.025187802707823385, 'max_depth': 8.54986605699765, 'n_estimators': 471.91137360977984, 'reg_lambda': 25.656936447363478, 'subsample': 0.7249865422578339}"
4,-0.0013676572125405073,"{'colsample_bytree': 0.6020314133825792, 'learning_rate': 0.06150094344812401, 'max_depth': 4.047052131672959, 'n_estimators': 380.97916188004365, 'reg_lambda': 12.51938609548177, 'subsample': 0.21609769824638514}"
5,-0.0010102338856086135,"{'colsample_bytree': 0.7639049502125697, 'learning_rate': 0.09116691363905229, 'max_depth': 9.097297904963646, 'n_estimators': 472.20231767690916, 'reg_lambda': 25.246382200981763, 'subsample': 0.4326805042315722}"
6,-0.0009746885625645518,"{'colsample_bytree': 0.7938389463191771, 'learning_rate': 0.07664258388540357, 'max_depth': 4.6144777895125495, 'n_estimators': 472.3354620790294, 'reg_lambda': 27.79555487617906, 'subsample': 0.7998843035662486}"
7,-0.0010169262532144785,"{'colsample_bytree': 0.748760867810349, 'learning_rate': 0.07657761975749652, 'max_depth': 9.06628725614054, 'n_estimators': 467.96515485530415, 'reg_lambda': 29.895208360969804, 'subsample': 0.571816485021166}"
8,-0.0010147002758458257,"{'colsample_bytree': 0.8484892553901268, 'learning_rate': 0.032181297687822144, 'max_depth': 4.383532124184409, 'n_estimators': 466.77896420185795, 'reg_lambda': 24.94617958190082, 'subsample': 0.8196567491606754}"
9,-0.0011549403425306082,"{'colsample_bytree': 0.688029606061383, 'learning_rate': 0.06086808746789551, 'max_depth': 6.69842891850998, 'n_estimators': 482.44051936192056, 'reg_lambda': 29.655459147717167, 'subsample': 0.9178742361286194}"
10,-0.0010342588648200035,"{'colsample_bytree': 0.8562141083322896, 'learning_rate': 0.04791647386769938, 'max_depth': 7.6888132539925405, 'n_estimators': 416.7942164160801, 'reg_lambda': 29.592964502387634, 'subsample': 0.38038588964091197}"
11,-0.0009240035433322191,"{'colsample_bytree': 0.862787658575499, 'learning_rate': 0.04971795868175157, 'max_depth': 9.552223244467907, 'n_estimators': 415.02384294855904, 'reg_lambda': 20.94907877043172, 'subsample': 0.4137838137114642}"
12,-0.0009269852307625115,"{'colsample_bytree': 0.9244606851708244, 'learning_rate': 0.043157659343408546, 'max_depth': 6.133821574188382, 'n_estimators': 421.1984805575587, 'reg_lambda': 20.271967574892614, 'subsample': 0.5482349432895913}"
13,-0.0008495151996612549,"{'colsample_bytree': 0.9824455563606994, 'learning_rate': 0.09648989434557481, 'max_depth': 4.31220186886669, 'n_estimators': 415.11226659432754, 'reg_lambda': 15.539726741892213, 'subsample': 0.4722779720905969}"
14,-0.0008952182251960039,"{'colsample_bytree': 0.8954709947860644, 'learning_rate': 0.08741941869661532, 'max_depth': 9.074432794597456, 'n_estimators': 417.65924605556853, 'reg_lambda': 11.40586613677737, 'subsample': 0.6750789802094108}"
15,-0.0011260260362178087,"{'colsample_bytree': 0.7813151372894704, 'learning_rate': 0.022268201009384946, 'max_depth': 8.357514839026756, 'n_estimators': 408.28216742844666, 'reg_lambda': 13.530060542678132, 'subsample': 0.6274101600184171}"
16,-0.0008556591346859932,"{'colsample_bytree': 0.9353910115925909, 'learning_rate': 0.08765335351445365, 'max_depth': 3.278293947922191, 'n_estimators': 420.8055329268693, 'reg_lambda': 12.252382207946322, 'subsample': 0.7525827498124178}"
17,-0.0009611317655071616,"{'colsample_bytree': 0.8103204413923614, 'learning_rate': 0.051794301404887916, 'max_depth': 8.959380107056997, 'n_estimators': 427.65042188107805, 'reg_lambda': 11.601908154144223, 'subsample': 0.3980826356332882}"
18,-0.001047526835463941,"{'colsample_bytree': 0.753215743809214, 'learning_rate': 0.04334381437640357, 'max_depth': 3.087391518037215, 'n_estimators': 432.1421215402289, 'reg_lambda': 17.68869749342797, 'subsample': 0.45009220855800197}"
19,-0.0011343332007527351,"{'colsample_bytree': 0.7024001469828416, 'learning_rate': 0.06186345138370206, 'max_depth': 3.032138347756854, 'n_estimators': 412.33693035268493, 'reg_lambda': 22.530847587385566, 'subsample': 0.5110103841966455}"
20,-0.0009968653321266174,"{'colsample_bytree': 0.8059156220674599, 'learning_rate': 0.02807429326787398, 'max_depth': 8.36174059153186, 'n_estimators': 420.3357425234343, 'reg_lambda': 15.786522833159802, 'subsample': 0.6938078723376637}"
21,-0.0013681293930858374,"{'colsample_bytree': 0.629055064737536, 'learning_rate': 0.04853133841998757, 'max_depth': 4.240972557227946, 'n_estimators': 413.3295658453077, 'reg_lambda': 10.134636709912634, 'subsample': 0.8958150059662184}"
22,-0.0013019721955060959,"{'colsample_bytree': 0.6015973938963234, 'learning_rate': 0.05427502132695945, 'max_depth': 3.633976411905914, 'n_estimators': 419.0453194563038, 'reg_lambda': 16.86041433667306, 'subsample': 0.8334768439743068}"
23,-0.0010305034229531884,"{'colsample_bytree': 0.7833316414287651, 'learning_rate': 0.06218473867122183, 'max_depth': 3.0094760291441904, 'n_estimators': 413.7360847804862, 'reg_lambda': 15.396323106254668, 'subsample': 0.541459416878632}"
24,-0.0010977262863889337,"{'colsample_bytree': 0.7402473060057462, 'learning_rate': 0.08179406950752563, 'max_depth': 6.101706276653193, 'n_estimators': 414.64663713592734, 'reg_lambda': 16.241621349095738, 'subsample': 0.21181178565106934}"
25,-0.001326974481344223,"{'colsample_bytree': 0.6170259298264197, 'learning_rate': 0.07461227150989269, 'max_depth': 3.51106138515728, 'n_estimators': 419.5939540119091, 'reg_lambda': 11.647609177051411, 'subsample': 0.2184219675356429}"
26,-0.0011575494427233934,"{'colsample_bytree': 0.6696131158470044, 'learning_rate': 0.0427137051126984, 'max_depth': 4.317547173608004, 'n_estimators': 415.1672310031953, 'reg_lambda': 16.157760503158915, 'subsample': 0.741838733583392}"
27,-0.0032427990809082985,"{'colsample_bytree': 0.6202889954467139, 'learning_rate': 0.010989553448482887, 'max_depth': 8.536065963695197, 'n_estimators': 388.6938320990888, 'reg_lambda': 19.393337202314697, 'subsample': 0.6161965935501017}"
28,-0.001157266553491354,"{'colsample_bytree': 0.6564962067939114, 'learning_rate': 0.07402272751730234, 'max_depth': 3.683034857400858, 'n_estimators': 423.2998684933007, 'reg_lambda': 12.915766705362145, 'subsample': 0.26257622720255275}"
29,-0.001189927919767797,"{'colsample_bytree': 0.7100534315944896, 'learning_rate': 0.035625693805627495, 'max_depth': 5.2515428196754375, 'n_estimators': 415.8314916259725, 'reg_lambda': 13.567278712389841, 'subsample': 0.8720400093091676}"
30,-0.0008716214215382934,"{'colsample_bytree': 0.987007600839951, 'learning_rate': 0.027244912971312013, 'max_depth': 8.998708337716158, 'n_estimators': 420.33138988152075, 'reg_lambda': 12.24558917612084, 'subsample': 0.7488389687168522}"
31,-0.0009717585635371506,"{'colsample_bytree': 0.7907620484580047, 'learning_rate': 0.08352412757843078, 'max_depth': 6.2695638414523405, 'n_estimators': 469.8353936781257, 'reg_lambda': 26.148217963958736, 'subsample': 0.7949677553531036}"
