,target,params
0,-0.001491722883656621,"{'colsample_bytree': 0.6035898096743515, 'learning_rate': 0.05249628774913357, 'max_depth': 3.8300472297902117, 'n_estimators': 472.8032041386615, 'reg_lambda': 26.74383981986874, 'subsample': 0.37464295769174855}"
1,-0.001008520950563252,"{'colsample_bytree': 0.8818581184584013, 'learning_rate': 0.08706900797270083, 'max_depth': 8.027925763954311, 'n_estimators': 423.0450118264546, 'reg_lambda': 27.86077155814504, 'subsample': 0.9016435680063875}"
2,-0.000985968392342329,"{'colsample_bytree': 0.8987772969100896, 'learning_rate': 0.05626511957450149, 'max_depth': 6.736839810301408, 'n_estimators': 429.46321546547966, 'reg_lambda': 12.004369053035793, 'subsample': 0.43200087709582613}"
3,-0.000920458638574928,"{'colsample_bytree': 0.9564317694735665, 'learning_rate': 0.04079351866093837, 'max_depth': 8.722051740317067, 'n_estimators': 385.280226638957, 'reg_lambda': 16.423777621251467, 'subsample': 0.6652715004246966}"
4,-0.0012425092281773686,"{'colsample_bytree': 0.784534333392422, 'learning_rate': 0.05090297076985304, 'max_depth': 7.5077498606196365, 'n_estimators': 300.0929522597299, 'reg_lambda': 23.60609100311163, 'subsample': 0.5296795124121847}"
5,-0.0016499198973178864,"{'colsample_bytree': 0.7953079107796914, 'learning_rate': 0.018355007902275483, 'max_depth': 3.2341403448173858, 'n_estimators': 357.645363625348, 'reg_lambda': 29.78145126810265, 'subsample': 0.26728407397051834}"
6,-0.001258733798749745,"{'colsample_bytree': 0.6616036605367775, 'learning_rate': 0.08428325023262881, 'max_depth': 7.71653625064137, 'n_estimators': 385.7175511468266, 'reg_lambda': 15.824213568330755, 'subsample': 0.6305590204733893}"
7,-0.0014616042608395219,"{'colsample_bytree': 0.6325463043424808, 'learning_rate': 0.07465675226767302, 'max_depth': 6.398079149445248, 'n_estimators': 418.6052525248109, 'reg_lambda': 10.419645459904904, 'subsample': 0.46980239149632896}"
8,-0.001089160330593586,"{'colsample_bytree': 0.8512782159214733, 'learning_rate': 0.08004256405750222, 'max_depth': 9.297221810052275, 'n_estimators': 459.53418746981583, 'reg_lambda': 12.50565988144343, 'subsample': 0.34130067287605426}"
9,-0.0014917985536158085,"{'colsample_bytree': 0.6060412458035227, 'learning_rate': 0.0686341946166761, 'max_depth': 7.469248372776514, 'n_estimators': 309.84276095235344, 'reg_lambda': 22.74030201846562, 'subsample': 0.8755525143413634}"
10,-0.0009484494803473353,"{'colsample_bytree': 0.9712830173619923, 'learning_rate': 0.020768194091213023, 'max_depth': 9.221033504506405, 'n_estimators': 385.5360340527932, 'reg_lambda': 16.104285949427886, 'subsample': 0.7488448213345389}"
11,-0.0011929271277040243,"{'colsample_bytree': 0.8741527955065705, 'learning_rate': 0.014685883719638686, 'max_depth': 8.778484064294855, 'n_estimators': 385.2494989568457, 'reg_lambda': 18.2667338037043, 'subsample': 0.6323606117926923}"
12,-0.00104242330417037,"{'colsample_bytree': 0.8753694762907274, 'learning_rate': 0.059704916020270914, 'max_depth': 9.573211870433553, 'n_estimators': 384.2320455804757, 'reg_lambda': 16.2748110084777, 'subsample': 0.33506281805755744}"
13,-0.0009847605833783746,"{'colsample_bytree': 0.8734949448934186, 'learning_rate': 0.09806787253088153, 'max_depth': 5.099767998040947, 'n_estimators': 428.6478428545809, 'reg_lambda': 12.012451775373538, 'subsample': 0.6736243984619878}"
14,-0.0010861677583307028,"{'colsample_bytree': 0.8428286670393302, 'learning_rate': 0.06168765847691844, 'max_depth': 4.673957100316354, 'n_estimators': 430.6751929065635, 'reg_lambda': 12.061319753297784, 'subsample': 0.3680451787533576}"
15,-0.0013276392128318548,"{'colsample_bytree': 0.6621814343897132, 'learning_rate': 0.0723812956729331, 'max_depth': 5.511601264498413, 'n_estimators': 428.0735312244195, 'reg_lambda': 10.340581935072287, 'subsample': 0.2336424448166369}"
16,-0.0009676278568804264,"{'colsample_bytree': 0.9254417635963464, 'learning_rate': 0.051687472953053454, 'max_depth': 5.650871606105544, 'n_estimators': 429.9168479697613, 'reg_lambda': 13.434026272154576, 'subsample': 0.6076687223113146}"
17,-0.00153112574480474,"{'colsample_bytree': 0.6222688792491727, 'learning_rate': 0.03424419626075544, 'max_depth': 6.1433580736499245, 'n_estimators': 428.30364673531693, 'reg_lambda': 13.721516903385549, 'subsample': 0.5474021732880529}"
18,-0.000900082872249186,"{'colsample_bytree': 0.9807810479990298, 'learning_rate': 0.05885732198067595, 'max_depth': 6.388231430761566, 'n_estimators': 430.3577887324708, 'reg_lambda': 13.00887628096187, 'subsample': 0.8415590005046658}"
19,-0.0012733186595141888,"{'colsample_bytree': 0.6645751105254196, 'learning_rate': 0.05263954454425732, 'max_depth': 7.71058499908464, 'n_estimators': 430.6079476184698, 'reg_lambda': 12.15988202288932, 'subsample': 0.5874838153071775}"
20,-0.0010025158990174532,"{'colsample_bytree': 0.8619699247442775, 'learning_rate': 0.04254202626076619, 'max_depth': 5.862355830775131, 'n_estimators': 431.3903589810997, 'reg_lambda': 13.27757533803825, 'subsample': 0.39774297889357463}"
21,-0.001194667536765337,"{'colsample_bytree': 0.7508557404097383, 'learning_rate': 0.03326908288447226, 'max_depth': 6.309152387353405, 'n_estimators': 430.9564428084167, 'reg_lambda': 14.62527482704691, 'subsample': 0.9261193272463735}"
22,-0.0009914598194882274,"{'colsample_bytree': 0.8690115133793717, 'learning_rate': 0.08138491252162475, 'max_depth': 8.686614504231162, 'n_estimators': 424.29442989794643, 'reg_lambda': 27.087953182623597, 'subsample': 0.7121485099840774}"
23,-0.0009271100861951709,"{'colsample_bytree': 0.9674768976560428, 'learning_rate': 0.08934947095100915, 'max_depth': 8.232032731762125, 'n_estimators': 423.2536174926975, 'reg_lambda': 26.287049424131393, 'subsample': 0.6921606923412105}"
24,-0.0016114477766677737,"{'colsample_bytree': 0.6127722442873643, 'learning_rate': 0.030642572635493165, 'max_depth': 6.839760009796994, 'n_estimators': 424.35428900284194, 'reg_lambda': 26.336166963371507, 'subsample': 0.5973800722419234}"
25,-0.001013495377264917,"{'colsample_bytree': 0.870231020199744, 'learning_rate': 0.0838258135108833, 'max_depth': 9.460125048852232, 'n_estimators': 423.559010492952, 'reg_lambda': 26.04699408613399, 'subsample': 0.9560487507721422}"
26,-0.0014335975283756852,"{'colsample_bytree': 0.6270378303637709, 'learning_rate': 0.09271074247813411, 'max_depth': 8.573443553536706, 'n_estimators': 422.76286000466155, 'reg_lambda': 26.877358697848198, 'subsample': 0.36363776924288244}"
27,-0.0012337429216131568,"{'colsample_bytree': 0.7358766831050632, 'learning_rate': 0.02174827210547027, 'max_depth': 7.558891796711766, 'n_estimators': 423.86836413918616, 'reg_lambda': 10.046825616275212, 'subsample': 0.7422237952819013}"
28,-0.0011341571807861328,"{'colsample_bytree': 0.9890114728979974, 'learning_rate': 0.060304946074035165, 'max_depth': 7.67024605501872, 'n_estimators': 349.93162836533077, 'reg_lambda': 29.90892381903712, 'subsample': 0.22980617393144087}"
29,-0.0010645781876519322,"{'colsample_bytree': 0.827418882861634, 'learning_rate': 0.08127397666047267, 'max_depth': 8.406468245645955, 'n_estimators': 424.1294652889601, 'reg_lambda': 26.330351613724954, 'subsample': 0.7864405112772384}"
30,-0.0011579415295273066,"{'colsample_bytree': 0.7688678893432351, 'learning_rate': 0.05375631769789731, 'max_depth': 9.599736003886875, 'n_estimators': 385.40589401614045, 'reg_lambda': 16.9073946472256, 'subsample': 0.6722773595271545}"
31,-0.0011412870371714234,"{'colsample_bytree': 0.7701528556560232, 'learning_rate': 0.07102036919477826, 'max_depth': 3.750866693579633, 'n_estimators': 429.2012239539275, 'reg_lambda': 22.382185799821297, 'subsample': 0.5661942989890827}"
32,-0.0014866896672174335,"{'colsample_bytree': 0.6838016692867339, 'learning_rate': 0.03461579049243959, 'max_depth': 8.310657477963261, 'n_estimators': 341.4634088690274, 'reg_lambda': 22.558461888458837, 'subsample': 0.37481004729490436}"
33,-0.001082492875866592,"{'colsample_bytree': 0.8897320517607651, 'learning_rate': 0.061860304015852886, 'max_depth': 5.771227494718553, 'n_estimators': 429.81766094413155, 'reg_lambda': 11.8337045254119, 'subsample': 0.23138648699414122}"
34,-0.0014254756970331073,"{'colsample_bytree': 0.6416028271748745, 'learning_rate': 0.09115262421949606, 'max_depth': 6.643146561799184, 'n_estimators': 430.12516713759675, 'reg_lambda': 12.787039718781045, 'subsample': 0.4901544944826175}"
35,-0.0009811808122321963,"{'colsample_bytree': 0.8621781428075811, 'learning_rate': 0.060237116381146434, 'max_depth': 7.729571484138729, 'n_estimators': 465.67528693278166, 'reg_lambda': 19.6977897873004, 'subsample': 0.8651007892495661}"
36,-0.0011130962520837784,"{'colsample_bytree': 0.8286607249271479, 'learning_rate': 0.03616228072663134, 'max_depth': 7.467705650632836, 'n_estimators': 387.67918661851627, 'reg_lambda': 19.52858600518888, 'subsample': 0.5972904632575411}"
37,-0.0010223448043689132,"{'colsample_bytree': 0.8595528918216206, 'learning_rate': 0.07684770191194636, 'max_depth': 5.998454054464789, 'n_estimators': 370.7964093587128, 'reg_lambda': 23.22245388356179, 'subsample': 0.48730176826378735}"
38,-0.0010107146808877587,"{'colsample_bytree': 0.9277482314551273, 'learning_rate': 0.08110360240865334, 'max_depth': 6.609582500925038, 'n_estimators': 468.3150111651091, 'reg_lambda': 16.46429955358905, 'subsample': 0.37212775092924777}"
39,-0.001052754232659936,"{'colsample_bytree': 0.8838935936146108, 'learning_rate': 0.0378093140768174, 'max_depth': 6.4037430303311025, 'n_estimators': 332.49158745561715, 'reg_lambda': 27.3244751669654, 'subsample': 0.7225802660737375}"
40,-0.0011056168004870415,"{'colsample_bytree': 0.9436854982101274, 'learning_rate': 0.028186156851147615, 'max_depth': 6.949670734255877, 'n_estimators': 355.92325397683874, 'reg_lambda': 14.901871404136699, 'subsample': 0.23545806726131593}"
41,-0.0010836746077984571,"{'colsample_bytree': 0.8471720037478091, 'learning_rate': 0.045484846324125076, 'max_depth': 7.597922931765621, 'n_estimators': 398.92444921977017, 'reg_lambda': 23.934874975431757, 'subsample': 0.753105164101002}"
42,-0.0009257363271899521,"{'colsample_bytree': 0.9500974515704885, 'learning_rate': 0.019978336554698262, 'max_depth': 5.846218850402966, 'n_estimators': 475.729089708018, 'reg_lambda': 12.105760647683205, 'subsample': 0.5383771628372034}"
43,-0.0009303848491981626,"{'colsample_bytree': 0.9574445303871552, 'learning_rate': 0.08632148004599065, 'max_depth': 4.520521629391204, 'n_estimators': 389.7425932752334, 'reg_lambda': 13.83530038560786, 'subsample': 0.4227463036863022}"
44,-0.0014296872541308403,"{'colsample_bytree': 0.637373745822178, 'learning_rate': 0.07872982277843164, 'max_depth': 6.515693826307399, 'n_estimators': 490.40738288334035, 'reg_lambda': 16.867551317867466, 'subsample': 0.8660300359665065}"
45,-0.0013395048445090652,"{'colsample_bytree': 0.6610814887911942, 'learning_rate': 0.0698831473552567, 'max_depth': 9.949182985172879, 'n_estimators': 311.7626644492877, 'reg_lambda': 15.433057478515156, 'subsample': 0.9865193892381785}"
46,-0.0010790096130222082,"{'colsample_bytree': 0.8139181406727303, 'learning_rate': 0.0742059550663499, 'max_depth': 4.6457118885855495, 'n_estimators': 407.53837799662216, 'reg_lambda': 28.22005595708801, 'subsample': 0.8045739511584931}"
47,-0.0026590432971715927,"{'colsample_bytree': 0.7115775139403739, 'learning_rate': 0.014518574478435714, 'max_depth': 9.802174490605003, 'n_estimators': 311.6069706664523, 'reg_lambda': 29.829672662863967, 'subsample': 0.7713304840147357}"
48,-0.0010881107300519943,"{'colsample_bytree': 0.9352126279344473, 'learning_rate': 0.0643662505747414, 'max_depth': 4.801644150803905, 'n_estimators': 387.5809843547819, 'reg_lambda': 19.433962384920427, 'subsample': 0.20390782256533796}"
49,-0.0010800930904224515,"{'colsample_bytree': 0.8149231600442696, 'learning_rate': 0.08903824111084349, 'max_depth': 9.086810029399333, 'n_estimators': 384.5577069638032, 'reg_lambda': 16.18450934662227, 'subsample': 0.6933132162293655}"
50,-0.0009865965694189072,"{'colsample_bytree': 0.8790139847530378, 'learning_rate': 0.05382050887083463, 'max_depth': 9.7345120155815, 'n_estimators': 473.6225453668028, 'reg_lambda': 18.960066739792744, 'subsample': 0.5634710732751582}"
51,-0.0009061511955223978,"{'colsample_bytree': 0.9501583783507017, 'learning_rate': 0.06039638974292427, 'max_depth': 5.146764928813865, 'n_estimators': 430.7480721347258, 'reg_lambda': 13.327129382525648, 'subsample': 0.5107324421903583}"
52,-0.0011260202154517174,"{'colsample_bytree': 0.9483199289721875, 'learning_rate': 0.04231307495471861, 'max_depth': 4.642329762636688, 'n_estimators': 310.2667811584979, 'reg_lambda': 23.716642123621387, 'subsample': 0.2634451859189921}"
53,-0.00102042977232486,"{'colsample_bytree': 0.9230621396605591, 'learning_rate': 0.07550666042606072, 'max_depth': 5.1077381476761525, 'n_estimators': 320.96612086181295, 'reg_lambda': 23.182290998765612, 'subsample': 0.52022531841974}"
54,-0.0011364883976057172,"{'colsample_bytree': 0.7888343831540922, 'learning_rate': 0.04540609923181024, 'max_depth': 8.544935877102958, 'n_estimators': 343.4470493637896, 'reg_lambda': 21.959240153778275, 'subsample': 0.4668950626270967}"
55,-0.0013399423332884908,"{'colsample_bytree': 0.7046624381191414, 'learning_rate': 0.04531527883847167, 'max_depth': 6.126553747621315, 'n_estimators': 342.8671319326336, 'reg_lambda': 24.00432855515252, 'subsample': 0.7300040150521536}"
56,-0.001484300009906292,"{'colsample_bytree': 0.6043678160860774, 'learning_rate': 0.07553792179296749, 'max_depth': 5.370380770175657, 'n_estimators': 353.6728597062493, 'reg_lambda': 21.193512573728462, 'subsample': 0.3835289405102101}"
57,-0.000999756739474833,"{'colsample_bytree': 0.9187967508766486, 'learning_rate': 0.08129002592251008, 'max_depth': 7.147748031042447, 'n_estimators': 386.0692239881847, 'reg_lambda': 27.807421308343887, 'subsample': 0.5977274316316081}"
58,-0.0013507161056622863,"{'colsample_bytree': 0.6532128566073117, 'learning_rate': 0.03381227869970574, 'max_depth': 9.956985582168425, 'n_estimators': 435.7005524382563, 'reg_lambda': 10.006396816666793, 'subsample': 0.8692544770256709}"
59,-0.0009987924713641405,"{'colsample_bytree': 0.8780158371787001, 'learning_rate': 0.06796442385692995, 'max_depth': 5.965895347923776, 'n_estimators': 411.9088792024489, 'reg_lambda': 27.914158820273673, 'subsample': 0.7913013375633644}"
60,-0.0011739396722987294,"{'colsample_bytree': 0.8009495903232857, 'learning_rate': 0.0965705124954509, 'max_depth': 6.779281636848008, 'n_estimators': 353.3535030814823, 'reg_lambda': 22.555067262504487, 'subsample': 0.2834871919650267}"
61,-0.0013394311536103487,"{'colsample_bytree': 0.6685161975659574, 'learning_rate': 0.040685059065847615, 'max_depth': 5.16580106172017, 'n_estimators': 441.0944361161433, 'reg_lambda': 11.731899392737253, 'subsample': 0.31056089759277977}"
62,-0.002053195144981146,"{'colsample_bytree': 0.8001190337581158, 'learning_rate': 0.011221683846271455, 'max_depth': 6.043364760669133, 'n_estimators': 323.5029373125511, 'reg_lambda': 13.978703114092632, 'subsample': 0.8261551877114519}"
63,-0.0010045304661616683,"{'colsample_bytree': 0.882430772930764, 'learning_rate': 0.08999900721135418, 'max_depth': 5.603618060661395, 'n_estimators': 476.2562353852049, 'reg_lambda': 12.95113092264181, 'subsample': 0.36916065837894696}"
64,-0.000897515332326293,"{'colsample_bytree': 0.9760576612910656, 'learning_rate': 0.044278354027287074, 'max_depth': 5.568630929946012, 'n_estimators': 430.76991332844847, 'reg_lambda': 12.94445509208741, 'subsample': 0.7101061059332012}"
65,-0.0010944968089461327,"{'colsample_bytree': 0.8269705782305075, 'learning_rate': 0.06798567721260827, 'max_depth': 4.672222060175804, 'n_estimators': 429.9605783856309, 'reg_lambda': 13.22420361448267, 'subsample': 0.8888854868333247}"
66,-0.0012062994064763188,"{'colsample_bytree': 0.7436792815538966, 'learning_rate': 0.029336335118047986, 'max_depth': 3.5646097519046513, 'n_estimators': 389.60515036276644, 'reg_lambda': 14.273545571817685, 'subsample': 0.6825760193755666}"
67,-0.0009912675013765693,"{'colsample_bytree': 0.9897271011721492, 'learning_rate': 0.047828833156138506, 'max_depth': 6.644722704689508, 'n_estimators': 476.15286037783324, 'reg_lambda': 12.688012443820558, 'subsample': 0.2595370759485005}"
68,-0.0010917915496975183,"{'colsample_bytree': 0.8366505449801835, 'learning_rate': 0.023721666851968776, 'max_depth': 7.570859093391529, 'n_estimators': 428.90285162377654, 'reg_lambda': 11.493950392021029, 'subsample': 0.5914776320352517}"
69,-0.0009600524790585041,"{'colsample_bytree': 0.9600132598803632, 'learning_rate': 0.050215824609126825, 'max_depth': 6.642991989856251, 'n_estimators': 475.0272513628282, 'reg_lambda': 12.302180753115525, 'subsample': 0.3197174313150753}"
70,-0.0010740807047113776,"{'colsample_bytree': 0.8065280213377672, 'learning_rate': 0.04489546943865294, 'max_depth': 5.299532155788239, 'n_estimators': 390.1826848513751, 'reg_lambda': 13.386569154425661, 'subsample': 0.7646187793711956}"
71,-0.0011360584758222103,"{'colsample_bytree': 0.7797825631849634, 'learning_rate': 0.0969061095641366, 'max_depth': 5.134274695297026, 'n_estimators': 475.2340943534281, 'reg_lambda': 12.851584810619121, 'subsample': 0.724265635926491}"
