,target,params
0,-0.0048350561410188675,"{'colsample_bytree': 0.6613441000991204, 'learning_rate': 0.01678626386740098, 'max_depth': 3.5771022806099686, 'n_estimators': 355.22826537369457, 'reg_lambda': 19.432235831103867, 'subsample': 0.22729685823003837}"
1,-0.0028461178299039602,"{'colsample_bytree': 0.892711877885541, 'learning_rate': 0.024970024616918343, 'max_depth': 6.201628027533257, 'n_estimators': 391.3189162433404, 'reg_lambda': 14.150123948277491, 'subsample': 0.2606275088358472}"
2,-0.0034803017042577267,"{'colsample_bytree': 0.6256768698526822, 'learning_rate': 0.06114039623999227, 'max_depth': 9.055112654901542, 'n_estimators': 477.03046889502275, 'reg_lambda': 11.66213543132394, 'subsample': 0.42316102774738296}"
3,-0.003081683535128832,"{'colsample_bytree': 0.6970543500143676, 'learning_rate': 0.06432670065492414, 'max_depth': 6.728900954223976, 'n_estimators': 333.75907148603693, 'reg_lambda': 20.427005776541616, 'subsample': 0.4762665702995178}"
4,-0.0024776000063866377,"{'colsample_bytree': 0.8731316047181956, 'learning_rate': 0.03308364810155716, 'max_depth': 6.291608860009063, 'n_estimators': 349.94526189591215, 'reg_lambda': 14.771641136308721, 'subsample': 0.5793554039414677}"
5,-0.0022318786941468716,"{'colsample_bytree': 0.9711285359715733, 'learning_rate': 0.06161977357662373, 'max_depth': 8.617462850484936, 'n_estimators': 410.1220937384147, 'reg_lambda': 15.148786828452163, 'subsample': 0.49712231433996074}"
6,-0.002405378967523575,"{'colsample_bytree': 0.9087779895533924, 'learning_rate': 0.08157561062842611, 'max_depth': 3.756787062716011, 'n_estimators': 440.387464862682, 'reg_lambda': 16.17593248620677, 'subsample': 0.4972397104407235}"
7,-0.0029109010938555002,"{'colsample_bytree': 0.6577177903878322, 'learning_rate': 0.08091650871083177, 'max_depth': 3.3520863804994523, 'n_estimators': 447.7440381237298, 'reg_lambda': 22.041582620456715, 'subsample': 0.6774168353282942}"
8,-0.0023419612552970648,"{'colsample_bytree': 0.9860346161926322, 'learning_rate': 0.07903038292842685, 'max_depth': 8.68595223962898, 'n_estimators': 352.7242932122955, 'reg_lambda': 12.630242779881307, 'subsample': 0.80424495331638}"
9,-0.0031170533038675785,"{'colsample_bytree': 0.6722003386122793, 'learning_rate': 0.06798473940729875, 'max_depth': 9.581155798020358, 'n_estimators': 349.37617628989864, 'reg_lambda': 12.761310371617906, 'subsample': 0.4558023325520588}"
10,-0.003054504282772541,"{'colsample_bytree': 0.7652691350996463, 'learning_rate': 0.059568571971318096, 'max_depth': 6.63193878839002, 'n_estimators': 376.6403972351448, 'reg_lambda': 12.340805323646284, 'subsample': 0.8639617942504525}"
11,-0.0029077266808599234,"{'colsample_bytree': 0.75178228459277, 'learning_rate': 0.06783758574181119, 'max_depth': 8.970956559322982, 'n_estimators': 494.2371241756251, 'reg_lambda': 10.710973155749048, 'subsample': 0.6907291309398601}"
