,loss_dataset_1,loss_dataset_2,data_size
0,-0.0017026593,-0.0022304228,3000
1,-0.0019503607,-0.0024067892,4000
2,-0.0018178849,-0.0024291875,5000
3,-0.0018699312,-0.002246013,6000
4,-0.0019840077,-0.0021596297,7000
5,-0.0020294867,-0.002112617,8000
6,-0.0020404912,-0.0023504323,9000
7,-0.0021246637,-0.002443514,10000
8,-0.002205346,-0.0023603768,11000
9,-0.002200072,-0.0024060663,12000
10,-0.0021511018,-0.002382366,13000
11,-0.002153632,-0.0023516594,14000
12,-0.0021403176,-0.00233511,15000
13,-0.0021247133,-0.0023172228,16000
14,-0.002117479,-0.0022784024,17000
15,-0.0021412564,-0.0023042194,18000
16,-0.002139313,-0.0022663006,19000
17,-0.0021526206,-0.0022345327,20000
18,-0.0021903769,-0.002206484,21000
19,-0.0021909722,-0.0021868057,22000
20,-0.0022255501,-0.002159884,23000
21,-0.0022371362,-0.0021713998,24000
22,-0.0022369733,-0.0021891568,25000
23,-0.0022349132,-0.0022058813,26000
24,-0.002236365,-0.0022331493,27000
25,-0.0022139656,-0.002212589,28000
26,-0.0022095365,-0.0021772648,29000
27,-0.0022172062,-0.0022098946,30000
28,-0.0022017227,-0.0021913683,31000
29,-0.0021964891,-0.0021946293,32000
30,-0.0021759067,-0.0021837174,33000
31,-0.0021862614,-0.0021746827,34000
32,-0.0021808494,-0.0021894863,35000
33,-0.0021761127,-0.0022278784,36000
34,-0.0021557382,-0.0022359875,37000
35,-0.0021417001,-0.0022383556,38000
36,-0.0021504902,-0.0022587033,39000
