,loss_dataset_1,loss_dataset_2,data_size
0,-0.0028822045,-0.0027885374,3000
1,-0.0028463593,-0.0029102247,4000
2,-0.002906877,-0.002922612,5000
3,-0.0029324484,-0.0027979207,6000
4,-0.0030353216,-0.002823336,7000
5,-0.0030218316,-0.002941818,8000
6,-0.0030125086,-0.003002688,9000
7,-0.0030005549,-0.0031165245,10000
8,-0.002980222,-0.0031586126,11000
9,-0.0029824406,-0.0030972133,12000
10,-0.0030116374,-0.0031813905,13000
11,-0.002983308,-0.0031576671,14000
12,-0.0029742974,-0.0031804675,15000
13,-0.0029561468,-0.0032040216,16000
14,-0.0029145158,-0.0032480583,17000
15,-0.0029029595,-0.0033375318,18000
16,-0.0029084245,-0.003344831,19000
17,-0.0029148501,-0.0033078059,20000
18,-0.002948483,-0.0032443355,21000
19,-0.002920555,-0.0032361527,22000
20,-0.0029119272,-0.0032474739,23000
21,-0.0029053213,-0.0032178666,24000
22,-0.0028964316,-0.003227112,25000
23,-0.002899835,-0.0031934814,26000
24,-0.0029076054,-0.0031924732,27000
25,-0.002937072,-0.0031627975,28000
26,-0.002932135,-0.0031111846,29000
27,-0.0029216642,-0.0030850205,30000
28,-0.0029217778,-0.0030848435,31000
29,-0.0029047034,-0.0030954627,32000
30,-0.0028893836,-0.0031085066,33000
31,-0.0029033073,-0.0031240634,34000
32,-0.0028875906,-0.0031386414,35000
33,-0.0028819821,-0.0031500282,36000
34,-0.00286703,-0.0031782233,37000
35,-0.0028475383,-0.0031563397,38000
36,-0.0028566145,-0.00313974,39000
