,target,params
0,-0.0036784347612410784,"{'gamma': 1.6462100062410765, 'lambda_sparse': 0.2235915807169988, 'n_a': 275.08739993673794, 'n_d': 47.29999015847768, 'n_independent': 2.15391582574045, 'n_shared': 0.5488830027674347, 'n_steps': 3.682287440123298}"
1,-0.004502779804170132,"{'gamma': 0.951043911454134, 'lambda_sparse': 0.791432774575009, 'n_a': 105.44023537178309, 'n_d': 70.64022768437732, 'n_independent': 1.9064622195497256, 'n_shared': 0.5783244817585371, 'n_steps': 1.4638372221898464}"
2,-0.006132651120424271,"{'gamma': 0.737159892470095, 'lambda_sparse': 0.9528654602639308, 'n_a': 271.0045067380059, 'n_d': 113.75325657780922, 'n_independent': 2.1414116897170365, 'n_shared': 1.3787952557580403, 'n_steps': 3.8859398954264903}"
3,-0.005569650325924158,"{'gamma': 1.7243217803078026, 'lambda_sparse': 0.8531449133051674, 'n_a': 274.78997135930865, 'n_d': 122.13877693586718, 'n_independent': 4.454748219548595, 'n_shared': 1.5576002935168738, 'n_steps': 3.707504442348328}"
4,-0.003798824967816472,"{'gamma': 0.5359330640940418, 'lambda_sparse': 0.3798131922054665, 'n_a': 59.40769015871683, 'n_d': 69.6693079741479, 'n_independent': 4.207993986385441, 'n_shared': 2.3752793097230347, 'n_steps': 2.344574789677289}"
5,-0.0034564665984362364,"{'gamma': 0.5766805828936306, 'lambda_sparse': 0.758914368755583, 'n_a': 58.274407840926784, 'n_d': 70.72458554516315, 'n_independent': 2.9939913490214267, 'n_shared': 1.0942639872313689, 'n_steps': 3.060919969840411}"
6,-0.0037276614457368,"{'gamma': 1.9999265038252865, 'lambda_sparse': 0.7876248522854684, 'n_a': 217.42879523224892, 'n_d': 98.48619371847572, 'n_independent': 2.4922477921785924, 'n_shared': 2.3859463815475674, 'n_steps': 1.9751384707711166}"
7,-0.0040787449106574,"{'gamma': 1.8432002963838883, 'lambda_sparse': 0.8423518907615443, 'n_a': 396.0038058828692, 'n_d': 38.24702749105589, 'n_independent': 2.071410184113283, 'n_shared': 0.7776185127799473, 'n_steps': 4.018773622279968}"
8,-0.0065128020942211,"{'gamma': 1.326720009043178, 'lambda_sparse': 0.8929324925198981, 'n_a': 255.68579178928155, 'n_d': 80.9794093365144, 'n_independent': 3.1366704211357863, 'n_shared': 1.7229585331034152, 'n_steps': 1.3206935747879824}"
9,-0.0035934504121541,"{'gamma': 0.5241710618769738, 'lambda_sparse': 0.5727988084623332, 'n_a': 431.2558745429376, 'n_d': 34.84022171734031, 'n_independent': 3.9774762311249474, 'n_shared': 0.6764450203279506, 'n_steps': 3.1671865454460035}"
10,-0.004685831721872,"{'gamma': 1.4107279309241614, 'lambda_sparse': 0.4878940702774891, 'n_a': 283.4289177842478, 'n_d': 119.28367523787645, 'n_independent': 4.374742671325747, 'n_shared': 0.6135912049320797, 'n_steps': 2.250137351020416}"
11,-0.0063636428676545,"{'gamma': 0.6740556607209787, 'lambda_sparse': 0.2213603478906584, 'n_a': 429.288186039868, 'n_d': 33.64956295316475, 'n_independent': 2.849889635999821, 'n_shared': 0.8318720621456677, 'n_steps': 3.0596686067294185}"
12,-0.0071147535927593,"{'gamma': 1.4963876679671322, 'lambda_sparse': 0.767995196608394, 'n_a': 152.76662343703427, 'n_d': 76.51679087036507, 'n_independent': 2.915415803808097, 'n_shared': 2.0537763667355624, 'n_steps': 2.1120780910440753}"
